#         t          x          y          z         vx         vy         vz
      9.143    121.170     72.420     90.180     30.680    -27.810     19.350
      9.214    122.520     69.920     91.540     31.450    -25.340     21.910
      9.286    125.180     68.650     92.960     31.810    -25.930     21.460
      9.357    127.300     66.840     94.270     28.930    -25.900     18.090
      9.429    129.330     64.880     95.610     27.570    -29.420     20.680
      9.500    131.360     63.300     97.390     25.390    -22.340     24.180
      9.571    132.980     61.500     99.220     26.940    -17.280     27.090
      9.643    135.280     60.770    100.800     29.300    -13.690     24.790
      9.714    137.200     59.550    102.530     29.050    -14.820     22.090
      9.786    139.570     58.380    104.450     31.980    -18.220     25.000
      9.857    142.150     57.430    106.500     36.100    -16.410     25.950
      9.929    144.180     56.010    108.090     36.780    -17.190     29.820
     10.000    146.790     54.430    110.110     38.280    -19.830     31.630
     10.071    149.660     53.370    112.770     36.000    -21.950     31.720
     10.143    151.970     51.770    114.910     31.210    -19.860     34.920
     10.214    154.270     50.470    117.410     33.160    -17.880     32.450
     10.286    156.390     49.020    119.600     33.260    -18.430     32.070
     10.357    158.520     47.490    121.610     34.110    -16.900     29.990
     10.429    160.520     45.910    123.230     33.930    -19.400     24.340
     10.500    162.820     44.270    124.980     29.610    -26.500     20.370
     10.571    165.850     42.280    126.840     32.270    -31.840     18.130
     10.643    167.030     40.420    127.200     30.920    -31.070     17.100
     10.714    170.190     38.050    129.480     29.190    -30.450     17.710
     10.786    172.150     36.170    130.890     25.120    -23.920     18.320
     10.857    173.100     35.340    131.180     26.310    -20.120     18.390
     10.929    175.150     33.850    133.030     30.840    -17.150     24.190
     11.000    177.520     32.540    135.030     32.180    -16.960     27.220
     11.071    179.820     31.270    137.230     30.610    -20.370     26.900
     11.143    181.970     29.610    139.010     29.750    -21.900     28.880
     11.214    184.150     27.840    140.940     29.910    -22.400     28.910
     11.286    186.600     26.330    143.440     29.330    -18.350     28.490
     11.357    188.730     24.980    145.350     29.590    -22.690     27.830
     11.429    190.740     23.630    146.600     31.490    -18.960     26.680
